"","Propionate","Butyrate","Dihydrouracil","Glutamate","Urea","Succinate","5-Aminopentanoate","Valerate","Lysine","Alanine"
"Veillonella",0.033,0.016,0.002,0,0.013,NA,0.004,NA,0,0.036
"Oliverpabstia",NA,0.031,0.011,0,0,NA,0,NA,0.004,0.002
"Merdicola",NA,0,0.042,0,0.038,0.022,NA,0,0.011,NA
"Sellimonas",0,0.013,0.002,NA,NA,NA,0.013,0,NA,0.002
"Avimicrobium",NA,NA,0.002,0,NA,0.024,0.002,NA,0,0.007
"UBA4372",0.02,0,NA,0.002,0.009,0.011,NA,0,NA,NA
"Enterocloster",0.002,NA,0,NA,0.022,0.011,NA,NA,0.018,0.007
"Mogibacterium",0.007,NA,NA,0,0,0.047,NA,0,NA,0.011
"Lancefieldella",NA,NA,0.018,0,NA,NA,0,0.049,0,0.002
"Turicibacter",0.024,NA,0,NA,NA,0.038,NA,0.018,0,0
"Intestinibacter",0.031,0.004,0.002,0.002,0.033,NA,NA,NA,0.011,NA
"Limiplasma",0.002,0.002,0.04,NA,0.024,0.007,NA,NA,NA,0.036
"Anaerotignum",NA,NA,NA,0.047,0.016,0.049,0.004,NA,0.002,0
"Pauljensenia",NA,0.049,0.024,0.036,NA,NA,0.002,0,NA,0.009
"An92",0.002,0.042,NA,NA,0.002,0.042,NA,NA,0.027,0.009
